R;P;T;RMinus;PMinus;TMinus
61,6950315035783;64,7163908388708;68,228559004796;1;1;5
389928141,61039;389338806,597403;390131943,428571;-77;-77;-77
13813283,0775162;24213756,4063515;14269309,663961;29;27;25
46680749,6136364;49755025,3084416;44999449,5876623;-77;-77;-77
6069501,02191558;8363558,66427176;6609078,95454545;17;23;23
18004656,7646104;19672136,6477273;17496115,7840909;-77;-77;-77
5360434,18440544;6439492,27800325;5649679,40880555;1;11;5
10855328,3782468;11976129,8831169;10612980,0795455;-77;-77;-77
3870862,44678369;4729871,3251319;4126650,67238231;35;33;35
7215775,22564935;8217481,4963474;7042270,89488636;-77;-73;-77
3408770,85195566;4216860,59172078;3591329,77019075;31;31;33
5222138,65706169;6065921,84943182;5097376,10896916;-71;-67;-71
2519205,67633929;3134613,78353287;2597260,97664811;7;11;11
3727856,01408723;4426271,77597403;3647480,16477273;-77;-77;-75
1976647,69328328;2591123,01816153;1991011,70665077;17;19;19
3158986,39143669;3862371,24330357;3098699,47184456;-73;-73;-71
1807935,34517045;2375658,69571834;1864998,4891183;27;33;31
2851213,375;3466613,82670455;2780036,47747565;-77;-75;-77
1491239,65668121;2057065,43247768;1563342,97197139;27;25;21
2270746,59659091;2810478,53081879;2212288,1130276;-75;-75;-75
1403223,04509943;1918760,82478947;1441983,5126319;29;33;29
1962884,96002435;2441205,86066863;1925082,04880276;-77;-75;-73
1223290,38848164;1638916,81153612;1255420,91451907;31;37;31
1679496,26972149;2115289,22586496;1647592,22658787;-73;-71;-75
1034304,99411526;1411640,70620688;1068035,00290749;41;43;39
1387464,94399351;1758939,00290432;1358170,44845779;-75;-75;-71
842809,439985795;1180002,36704165;865851,281579748;33;37;31
1215448,68817218;1554368,83730722;1186300,92231889;-77;-73;-75
695303,352924297;980860,438715154;733383,017842875;35;47;33
1018038,5682706;1312458,01253044;1000832,91723316;-71;-69;-67
593209,306019176;855014,540769899;616325,828743278;45;45;45
852764,888976258;1111407,51046951;822059,671906707;-69;-69;-67
441630,829884634;672476,676301238;449920,098049412;35;39;35
747759,010377562;965637,880707183;722176,741375812;-69;-71;-67
401899,431128861;598054,63961039;410247,095690442;33;35;35
588649,673688616;771755,659953328;557648,748490767;-73;-73;-71
347897,243195769;503127,591094574;340047,86154373;33;35;33
566231,405742695;719971,657040286;535394,412439123;-73;-73;-71
271187,192103795;397471,71884829;282399,23823369;29;35;33
457250,375524744;597706,357276025;432240,143947849;-69;-67;-67
219350,746296672;344375,402521307;217697,181447215;27;31;17
390587,66960798;509729,191907214;360173,589907163;-69;-67;-65
181023,917772169;271803,164840896;194597,01461039;29;33;13
338979,509638799;441250,726942979;307524,984584263;-71;-69;-63
167105,378826984;239534,065680169;184837,177406212;17;37;1
302306,97289722;389303,148551644;281175,458673651;-67;-69;-53
149968,64002099;218841,49744445;155762,974603034;27;43;9
264898,8468188;353935,599959584;249033,387835614;-71;-69;-55
126197,051332944;185991,229462859;149812,198838271;23;35;9
245033,429555125;316046,796050629;226492,283168842;-69;-67;-53
137131,004914519;181967,496607397;149496,280584162;15;41;13
234954,659222491;301728,804839692;225625,018358107;-71;-69;-59
137748,144548689;176457,065531149;152880,672420353;21;41;17
234020,458762429;297884,41025137;212993,58417937;-73;-69;-67
134509,463231074;190741,288605925;141030,872666396;31;41;25
237844,605033774;300088,396362305;220438,984230443;-70;-68;-60
136072,863389668;195391,306675158;148592,11782606;30;42;20
214850,214223761;280368,108727706;192646,265342311;-70;-72;-70
117855,144087942;170617,390862716;122633,127724497;44;40;28
217700,913750899;277154,706006502;192141,361867804;-66;-68;-66
122427,029553865;181826,935887387;118060,736952932;38;42;34
212981,132430227;270740,363730983;192992,767126786;-68;-64;-66
126401,577575684;178550,613962274;124835,084055047;46;52;30
215522,214596397;270237,211168791;198355,017738744;-70;-68;-62
122622,246452733;171092,190085963;117734,736349005;44;48;34
189685,969148335;243479,992553711;174977,609920702;-70;-68;-60
115241,671068693;162845,142252872;113831,312776264;44;46;34
186008,967294793;231287,176369416;174130,763822857;-62;-68;-58
129049,609003569;170185,111981844;123900,840987356;40;44;42
195715,397051359;241517,87213456;183429,070003309;-64;-64;-60
127415,891932437;170804,473787007;127261,158633583;36;38;32
185831,686083342;229648,829731188;172013,735062449;-66;-70;-66
111878,889024433;150364,599542718;106381,516026547;38;42;36
175482,643149928;221872,005621659;160948,741927297;-68;-66;-64
109626,679032978;148431,351655659;104834,583805285;46;52;40
158770,968422338;204121,002345035;146432,949405068;-66;-64;-64
110397,302361338;149731,05259303;102970,793295208;48;48;46
158009,328110544;198184,55501195;144128,980916073;-70;-68;-66
101078,603624674;140728,458132324;93473,8653450521;55;55;51
144221,626296585;181773,705300821;131940,594033731;-66;-62;-58
96270,5339124525;130949,73184534;90437,9706140467;54;52;42
134672,925373799;171056,322371199;123693,001161318;-64;-60;-60
79435,6900865709;114764,528127309;78017,9011428421;48;46;36
125976,846574113;158276,420344172;112433,848232475;-68;-68;-66
77990,9007139464;112214,3560857;79031,8935134475;52;46;36
120879,410380595;151960,376128326;109682,294506176;-62;-62;-60
69234,462573902;102100,817021344;69822,4011444917;48;48;36
112978,676744616;140504,35797614;99110,8002579148;-68;-68;-64
63756,5694382126;94951,8301210146;64131,3973256704;42;40;26
97925,6833644558;125813,378681905;91410,8563420064;-64;-64;-54
66357,4470445788;88440,2353845545;69404,3367754962;38;42;26
92419,6901063661;120328,887127851;86688,3374287373;-64;-62;-50
62242,2291556693;83490,5470036687;69496,2653033282;22;34;18
90684,6039865855;113057,202653215;85390,3431083061;-68;-66;-54
57158,001628154;80211,7420637801;61714,5725064664;26;30;16
83240,2900621569;106327,348260416;79936,1240465319;-58;-60;-42
55892,3942521327;76862,2092895508;58798,9251280089;20;28;12
80365,6373954979;101693,237110035;78371,9251313081;-62;-60;-50
56984,144845911;74432,2629089355;61021,3135821368;26;28;14
78374,29076901;96850,9707262194;75826,4399871826;-56;-64;-46
53600,5411583153;71663,5817071038;57761,8058092272;26;36;16
81311,5637817383;99625,6209287901;76952,7611721142;-62;-62;-50
52634,7415012669;69832,2042638418;53367,5373531032;30;36;18
77277,3966344885;94074,6523883923;71203,9133102314;-54;-60;-50
53414,6271848936;66700,9939608187;53518,89395554;26;32;18
70062,7140691603;85694,9806135023;65098,9974472458;-58;-62;-50
50521,2434457315;64055,5279804951;48722,6715426058;28;38;16
74734,5735040098;92746,5852446685;68285,2055091858;-66;-66;-60
47307,6076940588;62228,5710288383;49504,4787049165;26;34;16
69484,3722097036;82975,895873611;62565,7287185257;-62;-60;-56
45603,3872622928;61468,094091467;47528,1638804255;32;26;14
67707,5632060283;83234,6337535961;62798,1319557396;-62;-60;-54
40596,0802282385;55938,7627546981;42406,2463495925;34;36;22
65601,0987152924;81755,7157081398;61926,5686530036;-58;-58;-52
44905,8925096667;60022,4038696289;46346,0129122347;34;36;28
64016,1171891496;79016,285189242;60041,882010795;-58;-54;-52
41639,1990224477;57668,8552773965;44167,5537571263;34;34;20
59540,7135240709;74466,5696345149;58477,2633040145;-62;-60;-48
43535,7911220241;58562,5632596403;48175,4429692449;32;28;20
56582,4517550082;70515,0293892525;55694,8615574192;-60;-58;-52
37839,0377048802;52279,9602941565;40225,6676454286;32;36;24
53272,2110777159;67411,0333433409;52572,8606798327;-54;-56;-46
38902,2386264286;51092,3501797238;41997,3299125723;34;38;28
55844,64886391;68874,2882397795;55413,7341141374;-55;-53;-49
42644,1131090138;53412,987189306;46596,2839497605;21;23;19
51809,012230442;62709,7775577911;51756,6205335643;-49;-49;-41
38269,490102585;49053,6716709921;41598,8787574246;29;23;19
50990,140369154;60655,206826824;51583,0669463693;-41;-45;-39
40640,909183868;50651,8152574513;42059,5991871455;25;23;17
50538,9128886184;60071,9247177333;50523,549911708;-45;-47;-43
39587,8514830707;49009,7338758495;42320,5422187701;13;15;11
50476,8077643408;59726,4743351348;51076,1738361202;-43;-39;-35
41218,1144781243;50587,807152317;43086,414182062;17;15;13
44463,31128933;53422,9099371923;44051,9030828607;-41;-35;-35
34903,4175063878;43476,3705344004;37106,375221566;13;7;7
44303,675679246;52709,6684879669;44212,2532298467;-37;-43;-31
34291,5367013592;43828,6245919842;35808,9143977753;19;19;11
40794,0405373769;50219,5419319884;40072,0527201613;-33;-33;-35
35121,9629600211;44164,9518139983;36755,1686903026;17;17;7
38794,6618259378;48487,2795560654;38559,9184503425;-35;-33;-31
32068,3503165049;41699,3689617;32895,7226980549;15;17;13
39647,8564703954;46944,0334024691;38991,0696235552;-41;-43;-35
29562,1614639073;38301,9596800086;30423,007966342;21;17;11
40037,0790697908;47485,6976311566;38907,8550519551;-43;-39;-35
27574,2317124458;36060,6946394411;27681,9461402371;29;25;25
34828,4877553443;42569,9851784902;33871,7028758428;-45;-45;-43
24379,7005289156;32283,7603358569;24818,1006609773;21;19;21
35377,058491746;42823,6747637187;33825,0097004094;-53;-53;-53
24825,9867102218;32363,1062295992;25100,5249119589;31;29;19
34417,0592814406;42256,3540582526;33074,4948583368;-55;-55;-55
25042,7532875375;32162,7865776167;25885,6783179714;35;33;29
34005,1675640786;42057,7005314239;33266,3555141083;-57;-57;-51
22852,6808747592;30682,1988316366;24734,9045930627;27;29;23
34717,3026591262;42170,6548537163;34559,9345335242;-59;-61;-57
23860,6692538327;31106,1374578607;25289,2564981539;31;31;27
33541,4797296393;40655,5339154805;33206,2935448215;-59;-59;-57
22474,8375189794;28967,6814853198;23700,0113542113;35;43;31
33812,7002354452;40546,9033395428;33009,9951665173;-61;-61;-59
23490,865916631;30764,7833987719;24461,5563346131;39;35;33
35012,4568732275;42248,4329917594;33955,0062908016;-67;-67;-57
23796,1287808353;31183,9655046855;23807,8112317438;33;41;27
33171,1703022996;41220,4392683473;32062,185896364;-61;-59;-57
23687,1954157581;31363,6591211606;23793,6386409394;31;31;31
34309,4499678938;41759,6965106285;32775,1701760488;-63;-61;-63
21770,6147377328;29145,6755371094;22527,0398263801;39;37;31
32350,201103315;39570,2006300835;30701,26056969;-59;-57;-57
22187,0649915721;29429,2438521712;22680,1648308741;29;25;21
28740,2630527444;36258,934523491;26906,5013709917;-57;-55;-57
21593,7017337329;29075,1766906111;21237,7562708397;21;19;19
27474,9516885836;34910,614117348;26010,5995115515;-53;-51;-47
19356,2433275197;26934,5264073202;19424,77650516;25;21;13
25629,8082367361;32747,7348492766;25030,729837496;-51;-49;-47
19807,8073889327;26223,825754244;20936,070304139;11;7;-1
24021,0777704944;31272,0394663353;23717,0319372726;-43;-43;-39
18540,7361268344;24350,525868455;18841,3304694189;1;11;3
24870,4658880364;31287,332355656;24112,8865682524;-45;-49;-43
18580,4356881756;24806,5336419981;18867,6891136692;9;11;3
22183,7822503913;29029,4646072388;21420,3428899295;-49;-45;-39
18028,091770956;24223,4699259719;17740,9735784661;-5;3;-5
22237,4140883145;28459,197794039;20384,6392073958;-33;-31;-35
19008,9986324833;25449,2880416243;17881,2037286628;1;-3;1
21462,4521149936;27429,0241832994;19680,6496105455;-31;-37;-27
21156,952928517;27527,1070404053;19588,630441744;1;-1;-5
23067,6184265973;29780,4339624692;21018,4537689523;-27;-27;-27
21950,7844767113;28475,5828439373;20486,5831322605;-13;-9;-11
23183,4130593914;29529,3555701269;21100,5221741559;-29;-27;-27
20797,6599637384;26998,1059436537;18675,4932234255;-15;-13;-15
22314,9931019561;29219,4904534327;20627,7320328804;-25;-21;-29
21960,0717171447;28115,2729529812;20454,6944545067;-21;-15;-15
23310,6129062862;29004,1562449834;21159,3979009341;-29;-21;-27
21987,8892521793;28200,6470872017;20757,3440643729;-23;-19;-25
22602,2673348205;28741,2872151414;20804,3501167297;-19;-15;-25
22950,8986109903;29266,6629387059;21263,5047565617;-7;-5;-7
23449,1835210095;29422,054815005;21568,5583629869;-23;-23;-23
22289,3862142694;28904,8062317731;20914,5411920417;-19;-21;-13
22138,810781087;28288,33472295;20405,3605338319;-13;-11;-15
21815,7006984345;27835,6664743815;19844,9486881413;-13;-7;-13
21138,9076387588;27405,7257140695;19908,2741712283;-15;-19;-17
21571,0468357034;27230,0112170912;19915,2987068908;-19;-11;-13
20583,9774962125;26731,8413800801;18845,1249097014;-5;-11;-9
20430,1088382251;25703,8021900752;18594,1424397508;-19;-19;-25
20081,559626122;25889,1367118522;18185,4129729598;-7;-5;-5
19145,3361884764;24691,3543408538;17995,6912482275;-13;-5;-15
17847,7963704148;23735,3436885468;16783,7093196503;-13;-9;-13
18218,6194014876;23575,9769735467;16058,1672302664;-9;-7;-11
17097,4169403494;22824,2041199567;15364,0533976098;-7;-5;-15
17322,1732077403;22325,6224432122;15896,2492732218;-17;-7;-19
16554,5816008685;21731,7033708128;15167,2634812446;7;1;7
16733,6745197871;20824,0377000783;15247,4760084805;-21;-13;-19
15649,2589899351;20609,7269232763;14107,992102427;-9;-13;-13
16442,1377805553;20701,0398622278;14726,3561123365;-19;-13;-19
16368,3230593956;20447,6650386445;14308,5300425699;-5;-9;-3
14575,7673874946;19379,7320067523;13214,6112921205;-13;-7;-23
15682,4108995411;20038,0169376739;14486,7748421447;-5;-7;-11
16589,8291324981;20980,409286081;15220,2481576972;-13;-15;-19
16319,5387432151;20159,3334707495;14843,9611767285;-3;-5;-3
16251,1975735181;19937,3076150973;14997,8223860231;-15;-15;-21
15934,2175025417;19584,1168331773;14134,6716229164;3;5;7
16555,9875998301;20049,2309269317;15181,5450029765;-17;-11;-17
16373,8386096693;20361,8036844959;14709,8544432627;3;-3;7
16077,8948692426;19957,4832422962;14857,258741823;-19;-11;-23
16817,1744614693;21039,8647431674;15143,6693487298;-7;-9;-7
16060,5364396605;19804,9453534688;14966,5603986766;-21;-15;-27
16019,3026702045;20234,0747450737;14775,0513893545;7;3;7
16815,0502835626;20311,4121206623;15936,5675032106;-21;-17;-21
15776,9804470115;19765,1491038179;14233,9915470881;-1;-3;-1
16158,1200732924;19531,4444893615;14682,0373928122;-15;-17;-25
16000,7245947433;19763,7191747378;14490,0700867535;9;-1;9
15148,7731737111;18689,0977482208;13924,1768331658;-23;-13;-23
14154,6039194603;17384,8623161838;13453,2242582138;-3;-3;3
14962,3071144836;18936,8380386144;13885,0390489134;-21;-13;-17
14757,2640531357;18855,8600307099;13765,4132074853;-1;-5;-9
15194,1208644501;18873,300911211;13933,9924576642;-23;-13;-23
13150,757018651;17511,2159775904;12209,3571091743;-1;3;3
15051,2224850125;18418,0734341939;14392,6513523526;-16;-10;-18
14683,4291771783;18723,9306693077;14043,1433887482;0;-4;0
15124,4906715817;17902,7764498393;14275,1469064487;-24;-16;-28
13375,0056516859;17223,4328394996;12645,7767003377;0;-6;10
14587,2473797865;18068,7596435547;14106,5683172521;-21;-15;-21
14392,274955857;17692,0220680774;13447,9871045502;-3;-7;-1
14076,9359624084;17762,0146927095;13755,3331783456;-21;-19;-25
13910,7493191571;17521,4340343207;13109,9564730953;-3;-3;-3
13786,2462082984;17621,9870564367;13590,4740407165;-17;-17;-25
13837,3888604607;17689,0986681656;13001,4099219954;-7;-11;-5
13803,390470263;17658,392489581;13377,6892833978;-17;-19;-27
13520,9670512508;16778,6178990754;12663,2293542137;-11;-3;-5
13743,6262843172;17474,6097111232;13573,2982427033;-21;-19;-25
13318,2014142963;16850,2226884869;12769,9791919547;-9;-17;-5
13950,0601602474;17237,1634817795;13537,7709137823;-13;-13;-21
13818,2428967113;17296,6240264463;13380,7690326529;-9;-13;-1
13515,1724896498;16620,8858900473;13239,8546602491;-9;-7;-17
12410,9234465478;15943,8904222838;11825,4884639256;-3;-3;5
13676,4732086045;16418,7550223214;13519,564995466;-8;-12;-16
13485,1267147341;16403,9627804963;12611,5904815784;-15;-13;-11
14000,4342310809;16802,7934384;13867,6163391998;-15;-9;-15
13818,2227977808;16830,9282115992;13091,8133615964;-9;-11;-3
14124,6775388856;16825,0283344656;14155,0430536685;-13;-7;-15
13827,4180165166;16469,1721758635;13280,9982808431;-7;-15;-3
13968,5185885222;16659,2148481728;13575,5961334671;-11;-15;-19
13503,1820784859;16385,3875551086;13052,6605308643;-7;-1;-1
13904,7266118146;16651,1458883977;13588,0630369325;-11;-13;-17
13625,5206732266;15563,6661914328;13022,7722287385;-11;-11;-7
12748,4551675769;15159,3983084637;12613,4974252452;-17;-15;-19
12488,3778443267;15027,5086579254;11928,9828398331;-9;1;-1
12806,2518230936;15412,4518288875;12762,6795902529;-17;-9;-17
12770,6969425367;15639,3340434199;12173,8271775177;9;1;11
12652,7629655479;15162,4351169752;12381,5101736318;-11;-15;-19
11899,7691433672;14882,8425062981;11451,0438478304;11;9;17
13375,4386910701;15612,4172177522;13387,2108543507;-23;-19;-17
12403,2190790591;14898,7818289494;11763,9376505976;15;13;21
12434,1864208277;15317,8347634578;12216,9394433948;-15;-15;-29
11968,7753618766;14604,7354451055;11365,6393848364;11;13;19
12600,4803969895;15484,0521852797;12173,3228481127;-19;-15;-23
10756,4861364926;13412,7436808418;10110,9628147798;20;10;28
11689,1486400716;14024,0652420942;11359,4454224951;-22;-20;-28
11301,6776775472;13864,7056202608;10602,0090798771;10;6;14
11412,1195760615;13711,4796562195;11283,101394485;-26;-26;-24
11023,0563840305;12978,1634059233;10434,7365359138;16;14;22
11383,2294936741;13246,1647415161;10959,3799446891;-28;-24;-36
11484,3732567403;13740,6680767145;10702,145147836;23;19;21
11954,8723953019;13860,6038276331;11519,7278392279;-31;-25;-37
11022,5103184714;13468,7167299185;10125,8264808939;15;13;19
11667,7218766853;13527,2797726304;11196,1483180487;-29;-25;-31
11148,3564774243;13788,5199276369;10564,5762550012;9;5;19
12142,2644819573;14205,934885509;11649,4342696916;-27;-23;-27
11176,3399211827;13555,850234416;10529,4948678088;21;17;25
11403,6875264182;13739,5115754996;10967,4843258075;-31;-27;-31
11360,227168069;13349,0661325028;10965,8967230498;19;15;25
11597,7368457679;13986,9883224025;11381,5345588453;-30;-30;-36
11390,413112886;13584,4134789669;10773,8388662627;16;12;20
9661,5843891664;11533,6885974768;9356,89993609804;-28;-22;-32
8613,51882153749;10243,7734339237;8030,09965920448;14;16;20
9132,24527174234;10607,2823090553;8845,82924830914;-28;-20;-30
9242,80071585057;10939,6753405555;8717,3709334034;7;11;13
9779,22971191406;11704,991877053;9417,54596446644;-21;-17;-25
9234,44735152633;11259,9110525626;8407,70480290166;8;2;10
9272,18645183857;11166,7260354849;8829,39980726976;-16;-12;-20
8363,73570380491;10352,4752767226;8076,80299960866;7;7;15
8435,21090438843;10082,8416394043;7949,80997589111;-16;-10;-22
7745,00527832031;9625,15199920654;7091,13410217285;6;8;14
8390,58631799576;9643,53868525079;8020,53122184124;-13;-9;-15
7678,76522177838;9210,48910506228;7638,20759030606;11;15;13
7346,50465750176;9225,61616582456;7203,17241502845;-14;-10;-22
7612,95811225043;8628,50597974989;7039,30134514703;5;7;11
7925,84014519586;9325,95588039822;7887,76471828885;-19;-17;-19
7639,05438774957;8704,02684631348;7042,83026869032;17;15;19
6835,93161530928;8101,35836098411;6636,49445481734;-18;-16;-22
6770,04283939708;7691,97823645852;6594,90470400724;16;14;18
7022,81957786028;8053,6997609693;6796,39132175889;-17;-15;-21
6402,12862910781;7551,91061188454;5860,2422813593;11;9;11
6003,55065549806;7071,52848496548;5704,63439091971;-19;-21;-25
6171,87777106706;7075,60990515421;5845,00068416152;5;3;5
6960,87263879111;8023,03690284906;6522,59500960417;-21;-19;-19
6010,67211479364;7202,85764640986;5560,94157729038;9;5;13
5596,68993945454;6599,31865532454;5125,16533998001;-13;-9;-17
5430,5500857331;6774,13096299282;4895,35095711642;5;3;5
5755,82590985853;6442,97677221964;5689,55059051514;-15;-15;-19
4986,69584087993;5706,971472097;4700,69649487872;11;5;11
4487,04318024391;5552,26351272228;4140,52848665104;-7;-9;-15
4933,95756282363;5233,70087254325;4555,91505024045;1;-3;1
4794,71661128554;5803,25431433389;4755,90518827217;-13;-13;-21
4571,82364619055;5166,91930052292;4207,92126123573;13;9;15
4346,47219158354;5151,94608633859;4154,43829875901;-12;-10;-10
4288,04036407471;4784,75902862549;4151,83576202393;2;2;2
4131,5071174915;4528,93200996595;3803,72750903399;-7;-5;-9
3615,78101750424;4577,00829074257;3348,87293283563;2;6;8
3892,16821206583;4546,74681957348;3792,83393488704;-9;-9;-11
